OTU	100_trimmed_R2	101_trimmed_R2	102_trimmed_R2	103_trimmed_R2	104_trimmed_R2	105_trimmed_R2	106_trimmed_R2	107_trimmed_R2	108_trimmed_R2	109_trimmed_R2	10_trimmed_R2	110_trimmed_R2	111_trimmed_R2	112_trimmed_R2	113_trimmed_R2	114_trimmed_R2	115_trimmed_R2	116_trimmed_R2	11_trimmed_R2	12_trimmed_R2	13_trimmed_R2	14_trimmed_R2	15_trimmed_R2	16_trimmed_R2	17_trimmed_R2	18_trimmed_R2	19_trimmed_R2	1_trimmed_R2	20_trimmed_R2	21_trimmed_R2	22_trimmed_R2	23_trimmed_R2	24_trimmed_R2	25_trimmed_R2	26_trimmed_R2	27_trimmed_R2	28_trimmed_R2	29_trimmed_R2	2_trimmed_R2	30_trimmed_R2	31_trimmed_R2	32_trimmed_R2	33_trimmed_R2	34_trimmed_R2	35_trimmed_R2	36_trimmed_R2	37_trimmed_R2	38_trimmed_R2	39_trimmed_R2	3_trimmed_R2	40_trimmed_R2	41_trimmed_R2	42_trimmed_R2	43_trimmed_R2	44_trimmed_R2	45_trimmed_R2	46_trimmed_R2	47_trimmed_R2	48_trimmed_R2	49_trimmed_R2	4_trimmed_R2	50_trimmed_R2	51_trimmed_R2	52_trimmed_R2	53_trimmed_R2	54_trimmed_R2	55_trimmed_R2	56_trimmed_R2	57_trimmed_R2	58_trimmed_R2	59_trimmed_R2	5_trimmed_R2	60_trimmed_R2	61_trimmed_R2	62_trimmed_R2	63_trimmed_R2	64_trimmed_R2	65_trimmed_R2	66_trimmed_R2	67_trimmed_R2	68_trimmed_R2	69_trimmed_R2	6_trimmed_R2	70_trimmed_R2	71_trimmed_R2	72_trimmed_R2	73_trimmed_R2	74_trimmed_R2	75_trimmed_R2	76_trimmed_R2	77_trimmed_R2	78_trimmed_R2	79_trimmed_R2	7_trimmed_R2	80_trimmed_R2	81_trimmed_R2	82_trimmed_R2	83_trimmed_R2	84_trimmed_R2	85_trimmed_R2	86_trimmed_R2	87_trimmed_R2	88_trimmed_R2	89_trimmed_R2	8_trimmed_R2	90_trimmed_R2	91_trimmed_R2	92_trimmed_R2	93_trimmed_R2	94_trimmed_R2	95_trimmed_R2	96_trimmed_R2	97_trimmed_R2	98_trimmed_R2	99_trimmed_R2	9_trimmed_R2
DENOVO21	156	265	284	302	142	217	337	149	218	150	17	167	137	65	201	115	211	140	47	30	54	27	12	14	82	36	41	15	91	86	88	47	52	8	10	14	51	10	4	52	19	20	20	37	14	25	63	27	26	13	34	73	15	73	16	19	17	44	34	66	23	23	36	59	14	17	49	61	43	53	26	4	24	82	157	53	23	24	33	73	86	131	18	32	53	34	125	143	66	160	161	153	91	40	33	64	238	143	63	142	182	170	22	155	23	51	145	158	126	221	167	291	231	501	84	23
DENOVO22	92	495	473	457	9	405	859	86	105	184	0	255	405	13	331	236	486	768	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	6	3	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	44	0	34	39	79	2	2	0	1	13	6	4	0	43	1	0	1	1	3	56	8	14	0	9	1	1	14	32	86	49	152	29	0	0	0	0	35	4	18	8	0	0	1	0	144	0	69	3	28	0	2	1	1	752	1044	246	0
DENOVO23	358	1569	1935	1636	15	1515	3605	242	433	241	1	1239	1607	97	1251	813	1254	1431	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	21	14	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	38	0	2	0	0	0	113	2	86	137	402	6	0	0	2	33	28	15	2	160	0	0	1	1	7	73	35	61	7	17	0	5	42	135	364	228	687	122	0	0	0	0	118	6	87	22	0	0	0	2	480	0	357	8	159	0	7	3	0	2602	4174	802	0
DENOVO24	92	39	28	26	50	37	223	11	43	78	0	31	31	16	39	39	26	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	4	3	11	92	131	4	0	4	8	11	25	6	1	29	5	1	3	0	4	7	13	49	36	41	13	60	120	11	0
DENOVO25	6	1	5	1	3	1	0	0	12	10	0	11	0	0	0	1	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	1	0	0	0	3	4	2	0	1	0	0	4	0	1	0	0	0	64	0	101	58	0	0	0	7	9	5	0	0	0	0	8	12	12	0	0	0	1	0	2	0	0	0	0	3	3	2	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	86	40	94	67	142	2	0
DENOVO26	32	153	164	152	2	136	315	37	29	30	0	81	115	4	131	93	156	235	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	7	0	0	0	0	0	10	1	11	11	29	0	0	0	0	5	2	2	1	31	0	0	2	0	2	12	3	3	2	3	0	1	7	12	25	17	51	11	0	0	0	0	8	0	8	0	0	0	0	0	48	0	23	0	6	1	1	0	0	288	323	107	0
DENOVO27	0	0	2	2	0	0	1	0	0	0	3	0	0	0	1	0	0	0	8	0	2	0	2	1	5	0	0	3	0	0	2	0	1	1	2	1	211	11	1	78	0	0	0	97	48	87	0	0	0	1	17	36	7	0	0	0	16	20	20	0	1	0	0	12	10	21	0	0	0	2	0	0	5	0	0	0	1	0	0	0	0	0	4	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO28	46	33	53	12	10	117	162	9	10	40	0	9	65	0	14	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	7	17	51	0	0	1	7	17	4	0	2	24	44	2	0	0	0	2	0	4	34	156	19	18	9	6	0
DENOVO29	21	73	95	87	10	106	218	21	25	32	0	49	84	6	101	57	110	157	0	0	1	0	1	0	0	1	1	0	2	0	0	0	0	1	1	1	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	21	0	25	17	25	1	3	7	35	6	1	2	0	4	3	10	4	1	3	13	15	14	3	2	2	0	0	3	15	6	28	1	0	1	0	1	9	0	2	2	0	1	0	0	32	0	12	0	3	2	0	2	0	175	201	49	0
DENOVO30	0	0	0	0	0	0	3	0	0	0	5	0	0	1	0	0	0	0	3	3	1	0	0	1	2	2	0	5	2	0	3	2	2	3	2	0	166	38	0	66	0	1	0	69	49	56	0	0	0	0	20	29	7	0	0	0	13	12	8	0	0	0	0	16	4	10	0	0	0	5	0	1	6	0	0	0	0	0	1	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DENOVO31	0	2	0	1	0	1	0	0	19	54	0	10	0	0	0	0	1	2	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	59	448	50	24	48	0	0
DENOVO32	61	59	89	42	5	34	142	36	11	57	0	6	130	5	17	24	13	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	20	25	1	0	0	0	10	13	0	0	11	1	3	0	0	0	0	5	13	9	23	12	6	12	3	0
DENOVO33	1	5	2	3	3	5	4	0	0	1	6	0	2	0	2	2	1	2	1	5	2	1	0	1	1	0	0	2	5	5	2	8	1	2	0	2	1	1	2	0	5	1	3	1	10	5	0	0	0	0	2	1	0	4	1	2	3	2	0	0	3	0	0	1	0	3	1	0	1	0	0	1	0	4	4	2	0	1	3	0	2	0	1	0	0	3	0	1	0	1	3	2	0	2	0	0	4	1	6	0	1	0	0	3	3	1	0	2	1	1	1	0	1	0	0	0
DENOVO34	509	108	44	40	331	162	237	6	17	178	0	6	31	37	24	26	22	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	5	1	15	114	40	6	0	2	12	28	36	7	34	65	39	8	3	0	2	7	2	234	44	58	85	303	58	1	0
DENOVO35	16	73	89	103	5	70	136	14	41	62	0	42	73	1	104	58	85	94	2	0	0	0	1	1	2	0	0	1	3	2	3	3	1	2	0	1	4	8	1	0	1	3	1	1	1	2	2	0	0	1	4	5	0	3	0	0	3	0	0	14	0	7	2	5	4	0	0	5	3	1	3	0	7	0	1	1	0	0	8	1	2	1	1	0	0	2	11	22	6	31	11	4	1	0	1	20	3	7	2	1	3	4	1	37	1	15	1	2	4	8	7	8	128	202	35	1
DENOVO36	125	107	153	178	93	202	454	74	191	124	53	98	142	46	163	139	109	158	42	54	54	45	61	54	107	70	43	57	101	44	114	74	85	56	29	89	93	128	34	42	50	33	58	75	98	76	54	40	25	40	73	55	10	51	15	15	27	35	37	105	35	96	29	88	19	46	47	81	45	55	37	26	33	40	106	50	42	28	62	24	53	39	33	31	36	65	80	110	37	113	63	104	51	39	24	60	146	84	49	60	86	99	87	93	37	50	34	64	81	153	141	157	240	333	63	37
DENOVO37	3756	6609	5408	8174	3793	4518	7063	4313	4890	4320	4096	3247	4461	1779	5552	2823	4926	5583	5108	4907	8625	3689	4652	4268	5438	4532	5402	4704	6447	5270	6404	6487	5703	4484	3559	6140	5334	3573	3122	2999	5324	3525	5272	3335	6710	5825	5623	2485	3387	4361	1919	2648	582	7185	1630	2726	1834	3417	2495	812	3294	766	731	4588	1010	1304	1349	2514	1642	2482	2649	3972	3174	3319	4748	2491	2962	1326	3761	3011	4659	5080	3096	3026	3664	5850	2134	3917	1653	3051	3967	2365	2925	4807	1029	1552	5549	3693	3232	4173	3511	4716	1814	3468	3658	2687	3623	3844	3130	3712	3675	5407	6016	11685	2085	3867
DENOVO38	983	1319	1266	1816	573	1543	3723	922	1652	1891	193	820	1005	307	1164	866	1515	1540	280	181	303	123	249	100	530	363	261	81	546	463	703	279	388	132	105	441	357	345	71	211	148	148	209	263	275	223	363	161	217	158	160	303	58	381	60	119	136	175	201	917	122	781	351	416	169	125	315	500	244	306	254	109	186	420	686	410	192	124	221	178	308	286	100	101	150	166	708	663	319	846	681	808	318	155	169	547	1371	966	296	636	674	1401	746	791	164	172	470	514	1383	1572	1981	1772	1847	2421	799	168
DENOVO39	11	12	5	7	3	18	34	0	7	34	0	3	35	1	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	3	19	30	9	0	0	0	5	15	4	3	11	5	6	5	6	0	10	8	7	7	17	11	13	20	33	0	0
DENOVO40	2	33	25	8	0	15	23	1	3	3	0	18	13	1	16	1	20	19	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	5	3	2	1	0	1	0	0	0	4	1	1	0	1	0	3	0	2	0	6	4	3	3	2	30	37	2	0
DENOVO41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	3	0	0	0	0	0	0	9	6	271	0	0	0	0	17	2	2	0	1	0	2	2	0	8	2	2	1	1	0	0	0	3	0	44	1	55	28	15	0	7	11	18	11	0	0	5	0	3	1	4	0	0	0	5	3	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO42	10	22	30	33	2	23	70	3	11	6	0	20	36	1	35	26	26	50	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	5	5	6	0	1	1	1	1	2	0	0	5	0	0	0	0	1	1	1	2	0	0	0	0	1	3	12	2	20	0	0	1	0	0	2	0	2	1	0	1	0	0	6	1	1	0	2	0	0	1	0	66	67	3	0
DENOVO43	7	36	39	43	0	25	63	3	11	10	0	18	35	1	26	22	31	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	4	2	8	0	0	0	0	1	1	0	0	3	0	0	0	0	0	5	0	0	0	1	0	0	1	1	9	2	21	3	0	1	0	0	3	0	0	0	1	0	0	0	11	0	4	0	1	0	0	0	0	75	95	17	0
DENOVO44	27	4	0	0	34	2	26	0	0	11	0	2	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	14	3	1	0	0	4	0	5	0	2	0	4	0	1	0	0	0	0	16	1	0	9	17	0	0	0
DENOVO45	12	33	13	6	0	8	13	14	3	4	0	6	9	1	6	15	4	35	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	12	1	0	1	0	0	0	0	0	0	0	0	0	0	12	0	1	2	7	5	0	0	4	26	28	3	0
DENOVO46	10	3	12	7	22	21	12	6	1	14	0	0	7	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	0	5	41	53	1	0	1	2	22	17	0	4	53	6	1	0	0	0	9	7	3	6	3	5	15	15	0	0
DENOVO47	17	48	54	69	0	46	117	8	15	18	0	37	48	2	43	30	59	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	9	3	14	0	0	0	0	0	1	3	0	5	0	0	0	0	1	9	0	2	0	2	0	0	1	3	9	2	23	4	0	0	0	0	5	0	2	0	0	0	0	0	12	0	12	0	4	0	0	0	0	113	109	45	0
DENOVO48	21	54	71	68	3	56	138	14	21	12	0	27	49	2	43	34	61	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	5	0	4	8	14	0	0	0	0	2	0	2	0	5	1	1	0	0	0	9	1	1	0	0	0	0	0	3	10	9	18	2	0	0	0	0	7	1	2	2	0	0	0	0	25	0	13	1	3	0	1	0	0	116	138	27	0
DENOVO49	13	57	58	52	1	47	119	12	9	21	0	28	41	1	53	24	54	103	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	5	14	0	0	0	0	1	1	0	0	7	0	0	0	0	2	4	0	1	0	0	0	1	1	4	11	5	15	6	0	0	0	0	2	0	1	1	0	0	0	0	18	0	3	0	2	0	0	0	0	93	124	24	0
DENOVO50	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	12	1	7	4	0	0	18	4	14	0	3	0	5	0	9	7	5	0	0	0	0	0	4	3	0	0	2	0	0	5	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3
DENOVO51	1	1	1	0	1	1	1	2	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	1	1	0	2	0	0	1	0	0	1	1	0	2	0	2	0
DENOVO52	7	18	21	22	0	24	40	7	7	5	0	20	24	0	27	12	21	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	2	3	9	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	5	3	5	8	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	42	62	15	0
DENOVO53	0	1	0	0	0	1	1	3	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	1	0	1	0	0	0	3	0	0	0	0	0	3	1	1	1	0	0	0
DENOVO54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	17	32	0	0	0	5	28	14	5	3	2	10	5	6	0	1	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO55	5	13	21	24	7	8	25	3	15	15	1	13	6	3	7	14	12	11	1	3	5	2	0	2	7	8	3	0	8	3	10	6	7	0	0	2	7	1	2	1	4	2	1	5	1	1	1	0	4	3	4	4	2	11	2	2	2	4	4	8	1	4	3	8	0	1	7	4	3	4	4	2	2	6	7	1	0	3	2	5	13	6	4	6	6	6	6	9	5	8	11	4	6	0	4	4	22	5	2	8	8	14	4	19	5	5	8	15	3	11	9	16	15	35	5	2
DENOVO56	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	30	1	1	14	0	0	0	21	4	12	0	0	0	0	1	5	3	0	0	0	1	5	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO57	1	2	2	0	0	0	1	2	0	0	1	0	4	0	4	0	0	0	0	3	2	1	0	0	5	1	2	1	2	0	0	2	0	2	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	1	2	2	0	2	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0	0	0	2	3	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	1	1	1	0	0	0	2	1	0	1	0	0	2
DENOVO58	1	1	4	0	1	1	2	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	8	2	2	2	1	1	0	0	0	0	0	0	2	0	0	0	0	1	3	0	3	0
DENOVO59	6	24	28	28	0	15	69	8	2	6	0	15	20	1	17	18	23	38	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	10	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	3	4	11	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	3	0	4	0	0	0	0	42	65	12	0
DENOVO60	8	0	6	14	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	7	0	0	1	2	0	0	0	2	0	3	0	0	1	0	1	9	0	2	7	55	0	4	4	4	0	10	0	0
DENOVO61	0	1	0	1	1	4	1	0	1	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	2	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0
DENOVO62	19	27	31	27	7	32	60	17	29	36	2	17	24	11	21	24	32	25	9	0	4	4	9	0	8	9	12	4	11	9	16	8	4	7	3	11	5	5	0	0	4	6	14	5	6	3	3	2	10	10	3	1	0	6	2	2	1	2	5	22	3	23	6	3	5	5	8	10	7	5	11	0	6	9	9	15	0	3	5	7	8	7	1	3	1	3	20	15	10	20	14	19	6	5	3	9	20	16	4	9	14	18	11	17	5	2	8	6	32	29	27	31	37	39	15	7
DENOVO63	2	0	1	0	0	1	2	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	0	3	0
DENOVO64	14	18	12	22	7	10	19	4	18	11	0	15	10	2	12	9	20	11	1	2	4	2	0	3	8	2	5	0	11	6	4	4	3	0	0	0	3	1	0	6	5	3	3	4	2	4	4	0	2	1	1	8	2	8	0	4	3	1	2	2	3	4	3	7	0	0	4	5	4	4	2	0	2	13	16	5	3	3	0	0	11	10	1	6	1	2	8	12	6	7	10	11	5	1	3	6	22	10	2	11	12	5	0	23	2	2	3	12	1	10	7	15	18	25	9	0
DENOVO65	13	9	14	24	17	7	17	17	17	13	2	11	8	7	17	9	18	12	4	1	3	1	1	1	1	2	2	0	8	4	4	2	9	0	1	0	2	0	0	3	0	1	0	3	2	0	1	3	8	1	4	6	0	5	0	4	0	2	1	1	0	1	0	1	0	2	4	6	4	3	0	2	1	12	11	4	2	2	1	4	6	11	0	1	3	2	5	6	4	13	15	10	9	3	5	6	10	9	3	13	10	11	2	15	1	7	4	15	14	24	4	15	13	35	5	2
DENOVO66	6	3	5	3	1	15	16	1	0	3	0	1	6	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	7	0	0	0	2	5	0	0	0	2	4	0	0	0	0	0	0	0	2	13	0	0	0	0	0
DENOVO67	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	75	71	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	1	8	0	1	0	1	0	2	0	2	0	0	0	0	0	2	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DENOVO68	63	122	80	100	31	67	181	49	109	129	7	47	50	23	55	47	83	66	9	9	33	18	27	7	23	13	21	16	52	43	27	7	10	6	10	35	23	14	5	12	24	22	24	20	15	16	44	22	23	18	12	13	1	52	8	15	12	13	5	61	13	45	37	24	5	2	39	45	29	28	16	8	5	50	79	52	12	6	8	45	56	36	8	12	15	2	32	40	18	44	68	43	15	21	10	29	77	92	29	33	37	84	36	66	16	12	31	58	119	81	125	141	108	205	43	11
DENOVO69	0	0	0	2	0	0	2	0	0	3	0	5	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	4	0	0	0	0	0	1	1	1	0	0	1	0	0	1	6	0	1	1	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	3	0	0	1
DENOVO70	6	21	24	21	0	27	45	4	8	10	0	12	16	0	17	12	24	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	5	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	5	0	2	0	0	0	0	1	0	5	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0	13	0	6	0	2	0	0	0	0	37	39	15	0
DENOVO71	4	1	3	4	1	3	5	4	3	5	5	2	5	1	6	1	7	5	8	8	11	1	4	7	10	5	12	4	16	9	9	9	8	8	4	14	19	22	5	15	3	4	7	16	34	14	14	2	4	7	3	10	5	8	2	5	1	9	9	6	5	0	5	5	0	4	0	7	2	3	5	3	2	3	5	4	2	3	7	3	3	5	7	6	4	6	1	1	1	2	2	3	3	8	5	0	4	5	3	5	2	5	3	4	9	2	3	3	2	1	1	4	2	4	0	7
DENOVO72	23	80	67	65	14	60	53	16	15	9	2	33	44	9	60	38	51	67	5	5	10	1	3	2	5	6	5	4	5	9	6	9	0	2	1	1	5	2	4	4	10	2	5	2	8	3	2	2	0	5	2	5	3	7	1	0	1	2	1	3	2	0	8	17	1	1	0	3	3	2	9	2	8	3	6	3	6	2	11	2	3	0	4	1	4	10	3	25	1	31	17	9	2	6	1	4	3	7	7	4	4	5	3	29	1	10	1	19	5	11	11	16	62	121	35	4
DENOVO73	10	20	20	17	8	22	23	14	16	9	5	15	12	2	16	10	10	12	1	3	1	2	2	2	7	1	2	0	12	0	6	3	0	0	0	0	2	0	1	4	1	2	3	2	1	1	2	1	1	3	2	4	1	10	1	3	1	2	7	4	1	0	1	5	1	3	3	2	0	3	2	0	2	5	5	2	3	1	0	5	4	9	0	0	0	4	12	14	5	9	10	10	5	2	3	5	25	10	5	15	8	7	2	13	2	1	8	13	4	10	9	20	23	43	11	2
