	miseq	extraction	Sample	Days_maturation	Replicate	Label	Treatment	Locality	Locality_short	Maturation_type
62_trimmed_R1	62	62	3B	45	B	3B45_B	3L	BALLABIO	BAL	Traditional
63_trimmed_R1	63	63	3B	45	C	3B45_C	3L	BALLABIO	BAL	Traditional
64_trimmed_R1	64	64	3P	45	A	3P45_A	3L	PANDINO	PAN	Modern
65_trimmed_R1	65	65	3P	45	B	3P45_B	3L	PANDINO	PAN	Modern
66_trimmed_R1	66	66	3P	45	C	3P45_C	3L	PANDINO	PAN	Modern
67_trimmed_R1	67	67	3B	60	A	3B60_A	3L	BALLABIO	BAL	Traditional
68_trimmed_R1	68	68	3B	60	B	3B60_B	3L	BALLABIO	BAL	Traditional
69_trimmed_R1	69	69	3B	60	C	3B60_C	3L	BALLABIO	BAL	Traditional
70_trimmed_R1	70	70	3P	60	A	3P60_A	3L	PANDINO	PAN	Modern
71_trimmed_R1	71	71	3P	60	B	3P60_B	3L	PANDINO	PAN	Modern
72_trimmed_R1	72	72	3P	60	C	3P60_C	3L	PANDINO	PAN	Modern
73_trimmed_R1	73	1	253CA	35	A	253CA35_A	1L	Calvenzano	CAL	Modern
74_trimmed_R1	74	2	253CA	35	B	253CA35_B	1L	Calvenzano	CAL	Modern
75_trimmed_R1	75	3	253TL	35	A	253TL35_A	1L	ValTaleggio	VTA	Traditional
76_trimmed_R1	76	4	253TL	35	B	253TL35_B	1L	ValTaleggio	VTA	Traditional
77_trimmed_R1	77	5	254CA	35	A	254CA35_A	1L	Calvenzano	CAL	Modern
78_trimmed_R1	78	6	254CA	35	B	254CA35_B	1L	Calvenzano	CAL	Modern
79_trimmed_R1	79	7	254TL	35	A	254TL35_A	1L	ValTaleggio	VTA	Traditional
80_trimmed_R1	80	8	254TL	35	B	254TL35_B	1L	ValTaleggio	VTA	Traditional
81_trimmed_R1	81	9	253CA	60	A	253CA60_A	1L	Calvenzano	CAL	Modern
82_trimmed_R1	82	10	253CA	60	B	253CA60_B	1L	Calvenzano	CAL	Modern
83_trimmed_R1	83	11	253CA	60	C	253CA60_C	1L	Calvenzano	CAL	Modern
84_trimmed_R1	84	12	253TL	60	A	253TL60_A	1L	ValTaleggio	VTA	Traditional
85_trimmed_R1	85	13	253TL	60	B	253TL60_B	1L	ValTaleggio	VTA	Traditional
86_trimmed_R1	86	14	253TL	60	C	253TL60_C	1L	ValTaleggio	VTA	Traditional
87_trimmed_R1	87	15	254CA	60	A	254CA60_A	1L	Calvenzano	CAL	Modern
88_trimmed_R1	88	16	254CA	60	B	254CA60_B	1L	Calvenzano	CAL	Modern
89_trimmed_R1	89	17	254CA	60	C	254CA60_C	1L	Calvenzano	CAL	Modern
90_trimmed_R1	90	18	254TL	60	A	254TL60_A	1L	ValTaleggio	VTA	Traditional
91_trimmed_R1	91	19	254TL	60	B	254TL60_B	1L	ValTaleggio	VTA	Traditional
92_trimmed_R1	92	20	254TL	60	C	254TL60_C	1L	ValTaleggio	VTA	Traditional
93_trimmed_R1	93	21	4CA	35	A	4CA35_A	2L	Calvenzano	CAL	Modern
94_trimmed_R1	94	22	4CA	35	B	4CA35_B	2L	Calvenzano	CAL	Modern
95_trimmed_R1	95	23	4CA	35	C	4CA35_C	2L	Calvenzano	CAL	Modern
96_trimmed_R1	96	24	4TL	35	A	4TL35_A	2L	ValTaleggio	VTA	Traditional
97_trimmed_R1	97	25	4TL	35	B	4TL35_B	2L	ValTaleggio	VTA	Traditional
98_trimmed_R1	98	26	4TL	35	C	4TL35_C	2L	ValTaleggio	VTA	Traditional
99_trimmed_R1	99	27	5CA	35	A	5CA35_A	2L	Calvenzano	CAL	Modern
100_trimmed_R1	100	28	5CA	35	B	5CA35_B	2L	Calvenzano	CAL	Modern
101_trimmed_R1	101	29	5CA	35	C	5CA35_C	2L	Calvenzano	CAL	Modern
102_trimmed_R1	102	30	5TL	35	A	5TL35_A	2L	ValTaleggio	VTA	Traditional
103_trimmed_R1	103	31	5TL	35	B	5TL35_B	2L	ValTaleggio	VTA	Traditional
104_trimmed_R1	104	32	5TL	35	C	5TL35_C	2L	ValTaleggio	VTA	Traditional
105_trimmed_R1	105	33	364CA	60	A	364CA60_A	2L	Calvenzano	CAL	Modern
106_trimmed_R1	106	34	364CA	60	B	364CA60_B	2L	Calvenzano	CAL	Modern
107_trimmed_R1	107	35	364CA	60	C	364CA60_C	2L	Calvenzano	CAL	Modern
108_trimmed_R1	108	36	364TL	60	A	364TL60_A	2L	ValTaleggio	VTA	Traditional
109_trimmed_R1	109	37	364TL	60	B	364TL60_B	2L	ValTaleggio	VTA	Traditional
110_trimmed_R1	110	38	364TL	60	C	364TL60_C	2L	ValTaleggio	VTA	Traditional
111_trimmed_R1	111	39	365CA	60	A	365CA60_A	2L	Calvenzano	CAL	Modern
112_trimmed_R1	112	40	365CA	60	B	365CA60_B	2L	Calvenzano	CAL	Modern
113_trimmed_R1	113	41	365CA	60	C	365CA60_C	2L	Calvenzano	CAL	Modern
114_trimmed_R1	114	42	365TL	60	A	365TL60_A	2L	ValTaleggio	VTA	Traditional
115_trimmed_R1	115	43	365TL	60	B	365TL60_B	2L	ValTaleggio	VTA	Traditional
116_trimmed_R1	116	44	365TL	60	C	365TL60_C	2L	ValTaleggio	VTA	Traditional
